Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.42574E-4,25.010873255,0.300107762,0.090997002,0.21037464,0
2.45288E-4,25.254774474,0.302449502,0.090029978,0.213256484,0
2.48837E-4,25.501972673,0.30548887,0.089062953,0.213256484,0
2.5066E-4,25.751632176,0.307039499,0.088095929,0.216138329,0
2.54665E-4,26.004664387,0.310423058,0.087128904,0.221902017,0
2.57804E-4,26.261086471,0.313051259,0.08616188,0.221902017,0
2.60597E-4,26.52027548,0.315373043,0.085194855,0.221902017,0
2.63656E-4,26.756440034,0.317897926,0.084324533,0.221902017,0
2.66236E-4,27.021363093,0.320013605,0.083357509,0.224783862,0
2.6899E-4,27.262144757,0.322257115,0.082487187,0.227665706,0
2.71764E-4,27.505477914,0.324501968,0.081616865,0.23054755,0
2.73318E-4,27.750698064,0.325753449,0.080746543,0.23054755,0
2.76431E-4,28.025476911,0.328245636,0.079779518,0.236311239,0
2.80827E-4,28.275930909,0.331733545,0.078909196,0.236311239,0
2.83895E-4,28.502042557,0.334146624,0.078135577,0.236311239,0
2.86233E-4,28.758645925,0.335974244,0.077265255,0.236311239,0
2.89119E-4,29.017797776,0.338216243,0.076394933,0.242074928,0
2.92208E-4,29.250420903,0.340599142,0.075621313,0.244956772,0
2.95502E-4,29.51448208,0.34312055,0.074750991,0.244956772,0
2.98583E-4,29.752433221,0.345462671,0.073977372,0.244956772,0
3.01819E-4,30.022955201,0.347903919,0.07310705,0.247838617,0
3.04469E-4,30.265627643,0.349889494,0.07233343,0.247838617,0
3.08132E-4,30.510732443,0.352615197,0.07155981,0.250720461,0
3.10094E-4,30.758042954,0.354065458,0.070786191,0.253602305,0
3.13716E-4,31.007557587,0.356725347,0.070012571,0.259365994,0
3.17754E-4,31.260380682,0.359665582,0.069238952,0.262247839,0
3.22691E-4,31.516979096,0.363224177,0.068465332,0.262247839,0
3.29476E-4,31.778362928,0.368050385,0.067691713,0.265129683,0
3.32225E-4,32.01035096,0.36998511,0.067014795,0.265129683,0
3.37506E-4,32.27917701,0.373668507,0.066241176,0.265129683,0
3.40497E-4,32.516559375,0.375735711,0.065564259,0.270893372,0
3.4414E-4,32.756420959,0.378235384,0.064887342,0.270893372,0
3.50585E-4,33.034892373,0.382608787,0.064113722,0.273775216,0
3.56762E-4,33.283273627,0.386743011,0.063436805,0.282420749,0
3.59794E-4,33.534354193,0.388752244,0.062759888,0.288184438,0
3.6596E-4,33.752542623,0.39279724,0.062179673,0.288184438,0
3.69203E-4,34.010074244,0.394903472,0.061502756,0.291066282,0
3.72535E-4,34.269696795,0.397052761,0.060825839,0.291066282,0
3.7769E-4,34.532629285,0.400347268,0.060148922,0.293948127,0
3.79766E-4,34.759824259,0.401664047,0.059568707,0.293948127,0
3.83823E-4,35.027633755,0.404220176,0.05889179,0.293948127,0
3.90489E-4,35.261127173,0.408373591,0.058311575,0.293948127,0
3.96873E-4,35.536088045,0.412297421,0.057634658,0.293948127,0
