variable,x,y
bio9,-53.423310922241214,1.875891919471878E-12
bio9,-53.31437822418213,2.0833054771771234E-12
bio9,-53.20544552612304,2.2907190348823688E-12
bio9,-53.096512828063965,2.543045430964164E-12
bio9,-52.98758013000488,2.795371827045976E-12
bio9,-52.8786474319458,3.1021238501375187E-12
bio9,-52.769714733886715,3.4088758732290798E-12
bio9,-52.66078203582764,3.781534670292738E-12
bio9,-52.55184933776855,4.154193467356421E-12
bio9,-52.44291663970947,4.606606158101606E-12
bio9,-52.33398394165039,5.05901884884682E-12
bio9,-52.22505124359131,5.607873515125262E-12
bio9,-52.116118545532224,6.1567281814037386E-12
bio9,-52.007185847473146,6.822123196254524E-12
bio9,-51.89825314941406,7.487518211105352E-12
bio9,-51.78932045135498,8.293640760257147E-12
bio9,-51.680387753295896,9.099763309408996E-12
bio9,-51.57145505523681,1.0075719410892991E-11
bio9,-51.46252235717773,1.1051675512376924E-11
bio9,-51.353589659118654,1.2232387793184831E-11
bio9,-51.24465696105957,1.341310007399281E-11
bio9,-51.13572426300049,1.484056025381E-11
bio9,-51.026791564941405,1.6268020433627283E-11
bio9,-50.91785886688233,1.7992601530994978E-11
bio9,-50.80892616882324,1.971718262836278E-11
bio9,-50.699993470764156,2.1799288538030635E-11
bio9,-50.59106077270508,2.3881394447698365E-11
bio9,-50.482128074646,2.6393404501604862E-11
bio9,-50.373195376586914,2.8905414555511522E-11
bio9,-50.26426267852783,3.1933999429447334E-11
bio9,-50.15532998046875,3.4962584303382946E-11
bio9,-50.04639728240967,3.8611447440478676E-11
bio9,-49.937464584350586,4.226031057757464E-11
bio9,-49.8285318862915,4.665344853331286E-11
bio9,-49.71959918823242,5.10465864890508E-11
bio9,-49.61066649017334,5.633215679405456E-11
bio9,-49.50173379211426,6.161772709905797E-11
bio9,-49.39280109405517,6.7972742224306E-11
bio9,-49.283868395996095,7.432775734955364E-11
bio9,-49.17493569793701,8.196304703196103E-11
bio9,-49.06600299987793,8.959833671436795E-11
bio9,-48.957070301818845,9.876562242746124E-11
bio9,-48.84813760375977,1.0793290814055389E-10
bio9,-48.73920490570068,1.189319684836293E-10
bio9,-48.630272207641596,1.299310288267047E-10
bio9,-48.52133950958252,1.431187515179254E-10
bio9,-48.41240681152344,1.5630647420914607E-10
bio9,-48.303474113464354,1.7210742354932876E-10
bio9,-48.19454141540527,1.8790837288951145E-10
bio9,-48.08560871734619,2.068272754451872E-10
bio9,-47.97667601928711,2.2574617800086293E-10
bio9,-47.867743321228026,2.4838260020802747E-10
bio9,-47.75881062316894,2.7101902241519207E-10
bio9,-47.64987792510986,2.980846962926517E-10
bio9,-47.54094522705078,3.2515037017011306E-10
bio9,-47.4320125289917,3.57490165855261E-10
bio9,-47.32307983093261,3.8982996154041106E-10
bio9,-47.214147132873535,4.2844346915746347E-10
bio9,-47.10521443481446,4.670569767745158E-10
bio9,-46.996281736755364,5.131300623989507E-10
bio9,-46.887349038696286,5.592031480233794E-10
bio9,-46.77841634063721,6.14138766751036E-10
bio9,-46.66948364257812,6.690743854786963E-10
bio9,-46.56055094451904,7.345318927751123E-10
bio9,-46.45161824645996,7.999894000715324E-10
bio9,-46.34268554840088,8.779299219899259E-10
bio9,-46.233752850341794,9.558704439083244E-10
bio9,-46.12482015228271,1.048610172998957E-9
bio9,-46.01588745422363,1.1413499020895835E-9
bio9,-45.90695475616455,1.2516222501132712E-9
bio9,-45.798022058105474,1.361894598136959E-9
bio9,-45.68908936004638,1.4929230494204001E-9
bio9,-45.5801566619873,1.623951500703824E-9
bio9,-45.471223963928225,1.7795376146614814E-9
bio9,-45.36229126586914,1.9351237286191482E-9
bio9,-45.25335856781006,2.1197352876450795E-9
bio9,-45.144425869750975,2.3043468466710237E-9
bio9,-45.0354931716919,2.523249816380184E-9
bio9,-44.92656047363281,2.742152786089358E-9
bio9,-44.817627775573726,3.001535996485791E-9
bio9,-44.70869507751465,3.260919206882207E-9
bio9,-44.59976237945557,3.568054483815687E-9
bio9,-44.490829681396484,3.875189760749187E-9
bio9,-44.3818969833374,4.238614645379902E-9
bio9,-44.27296428527832,4.602039530010593E-9
bio9,-44.16403158721924,5.031770763941318E-9
bio9,-44.05509888916015,5.461501997872098E-9
bio9,-43.94616619110107,5.96928230733873E-9
bio9,-43.83723349304199,6.477062616805363E-9
bio9,-43.728300794982914,7.076648804449339E-9
bio9,-43.61936809692383,7.676234992093355E-9
bio9,-43.51043539886474,8.383730652761237E-9
bio9,-43.401502700805665,9.091226313429068E-9
bio9,-43.29257000274659,9.925484491246613E-9
